train_input_1,train_input_2,train_output_1
,1,
,4,
A,1,A
*,6,*
 ,7,
"
",1,
s,2,s
B ,1,B
  ,1,
 D,2,D
"2
",1,2
ef,1,ef
!!,1,!!
 F ,1,F
T L,1,"T
L"
4 s,2,4 s
"o
&",1,"o
&"
"e
e",2,e e
q  ,1,q
"
 e",1,e
hi ,4,hi
"q e
",1,"q
e"
  $  ,3,$
"


r
",1,r
9r 2 33 4,1,"9r
2
33
4"
9 22 3d 4r,2,"9 22
3d 4r"
9 2a 3 4 g,2,"9 2a
3 4
g"
9 2a 3 4 g,10,9 2a 3 4 g
"  hi   there  
  world  lots    of
space         here !   
 
",3,"hi there world
lots of space
here !"
"Well well, what is this?
211 days in a row that you've stopped by to see ME?
Then, go away!",3,"Well well, what
is this? 211
days in a
row that you've
stopped by to
see ME? Then,
go away!"
i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i !i,4,"i !i !i !i
!i !i !i !i
!i !i !i !i
!i !i !i !i
!i !i !i !i
!i !i !i !i
!i !i"
                                                                                                    ,6,
"



































































































",1,
ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,7,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
$ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ ,1,"$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$
$"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,4,"1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1"
"
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r",1,"r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r"
"
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v
v",10,"v v v v v v v v v v
v v v v v v v v v v
v v v v v v v v v v
v v v v v v v v v v
v v v v v v v v v v"
"d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d
 d",10,"d d d d d d d d d d
d d d d d d d d d d
d d d d d d d d d d
d d d d"
Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha Ha H,9,"Ha Ha Ha Ha Ha Ha Ha Ha Ha
Ha Ha Ha Ha Ha Ha Ha Ha Ha
Ha Ha Ha Ha Ha Ha Ha Ha Ha
Ha Ha Ha Ha Ha Ha H"
x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!x y!,5,"x y!x y!x y!x y!x
y!x y!x y!x y!x y!x
y!x y!x y!x y!x y!x
y!x y!x y!x y!x y!x
y!x y!x y!x y!x y!x
y!"
