train_input_1,train_output_1
[],
"[""""]",0
"["""" """"]","0
0"
"["""" """" """"]","0
0
0"
"["""" """" """" """" """" """" """" """" """" """"]","0
0
0
0
0
0
0
0
0
0"
"[""abcde""]",5
"[""1""]",1
"[""abc"" ""hi there""]","8
3"
"[""!@#"" ""\n\n\t\t"" ""5552\na r""]","8
4
3"
"[""tt"" ""333"" ""1"" ""ccc""]","3
1
3
2"
"[""lF2H1"" ""\\:))6cH$1H`(\""e*6#N"" ""XM!RB}4NZ"" "",Z=h[\tF{4oN| [uZ8?P'\n\""]:?It.Qg5K1:8&.*5bE"" ""8\\$VsklB/"" "",g\tl_*z6[:d/u49T!z3;Fw|5"" ""87vl=4Gf5sE/l%-HqY,h4^q2}t\""*e{tU1/tgk0^43"" ""d:Zj/aj :-ky~n='],#$xK"" ""41F*VlRP\\:~x|`[\n"" ""iM\taOTt|DUC%x@n8n(;xNgLd{G8B-Y$&\\7\"""" ""p.n%eakA%4i.Ww'qv\nfj8!hDqc\n1$\nin"" ""Ys^og:Khb$\nW]~x*9sFZ'0.'~QO;?tl2z{*]O"" ""5--~t3SHRg-w$D8)N#J\tj*^5yLh E*]\""FL K"" ""`"" ""7DX]mV2:l(A$"" ""Ql~p7"" ""\""nm&zB0^d\""EL4Z0q\""T0c)BwUs3qv"" ""8h.bQ`k~O>='.;r>mzF[^%<?he-pcWJO[V,]!"" ""9Y9_9+<wt`p_/VMa`:U@y{PQ!Z>&DG?>9ru *(HG1m"" ""D\\hXjX5oOg<-(\""J;EA;&YXi"" ""4yJ4)F_Bj5-0 ,ram`Z5I6Hb7\""iG XvYZDj\""zirIG{A6>yr*6"" ""^=)f6$b?*\\c.$GUTfc8V!ILE/U@iQr_mfm$WV\t8D"" ""1x{,c0$,Na,FZ\t|VXAx=t&}I^M,'N)\nst3J.4D,"" ""1.&h0Gf\n@'wN6$#5Kp.H<#(7dh?[aFo y\t\n|mV}nmk&7vuu'"" ""=25jve6K2UTBM1HW2e0OuRI0`.6Ss8$:y\""zBl'=K"" ""&2|M# 0m6c};;"" ""6"" ""ADmYNj#bUT@\no,vG+vPPJeo_VLKHOg?]ND=p"" ""pwcZ=G~:P4I4.~eaKy4"" ""j66!"" ""yVy\tv^)\tN'2K^8;ck1[%J+\twsM6l"" "">\tJIWn=D/9\""qCNmH\niOmi=!d7L`hVK{ngci40Z\\'XLbBQEM"" ""T`]5BY-K*;p>kd6RX{WxhPU4AP*U[ZNP(1?"" ""np2K28xbmw_]v#\t|Cb]$skLjZBX"" ""@COBJ "" ""q.}xZI"" ""0'p<<\""F/\tb&T'*)h^PW"" ""<]?]Cy$2\tT*v^RoyNi@j[RGif""]","25
19
6
6
27
35
47
28
4
19
36
1
13
40
48
39
40
49
23
42
37
28
5
12
1
36
37
32
35
16
22
41
24
9
41
9
18
5"
"["";c|\""\n}t2%MdY6=(O|s{S"" ""f=+]t?]|%wR\n"" ""+MJ"" ""k@GuM8A0h{a\tv3T/"" ""CgpftM"" ""F"" """" ""9S_5Zj4w\\O[<\n5HwxGWly9C#%7$"" ""DDjL3KsfFOJCO),x/"" ""$/&5\t?+W[I(jjUaW#"" ""60rSjUip~<<duT I3Ft!\"",7 #"" ""\nCS>V9gO{2xE\n,=E46g$Qr[mjco*Z\""/>a?vT%\\"" ""AQ&:dBz"" ""m)z|5#iufxP5_`XS=-8Z<G2T}3#x*=&}43.6)`=@I5n]S\n\""""]","47
7
38
25
17
17
27
0
1
6
16
3
12
20"
"[""n~'=.22/)}\""R"" ""_-b\\T_oaPE$AW{&NbMa$~\\|-Z~1\\0$q|mVTn7]>XV\\>"" ""RNQh\n~v4h0"" ""c$k"" ""A]bxlJF.l6c%l@.#V8N7z\nYT]vPK942Q)[iA|5n@TKK4{Hua"" ""NZ6^.T\nY#dv>.O{xGAVZ\tu{v\n0Y_*thZb,GTeH\\C>0hKRK"" ""A~)Z7E92v/<^s?R8B1\\~"" ""QJoVbo\""JU2h=O-m9PEZD=\tp:"" ""yR$iuTI^Y8X'v\t4d?f\n7RQeO8>XD3o"" ""<}f#:~`1.RGO<}w8f%=!26?U~'u%8[\tI~:-]zp+[(ik-A"" ""<0e@'H<HR>$?NZD3/qD\nne W1KxCAfYTaww2f\t\to+Tm"" ""UHVVV`jzwL,WOFYXqUg0}Y*M4@6s6e?7_NQ<#=cd@"" ""WzN~J%N))dZ2~SVnflu)#?.U[/-<!-K{=~@P\t%8[uk"" ""Cou}o|1.cgHc1[i9SQ<_"" "")s<2r\"">L'v\""(6-H7{<v,"" ""3XOB[m,vV$_ZqE7A'wouqr{\""@~45@z8\n42)e<k"" ""<{jO+y"" ""\""*o%xycFh9*%T0s"" ""nu"" ""GF5Q6iu&5=y#.B)kX^1]|4Y}NY,/E]m(:\""rj9B)SI"" ""Tj]5 vc"" ""Ld`|`*_5p6>j?:0`>vV|taY;"" ""sZD9P<f^2;QV~:[8OQ!I1%eh"" ""#oA\nnye6;"" ""U"" ""\nq]&^=[ R\n_PJ\""G>`!+\""'`"" ""6vWPNf5XEcHQKU,|nK?EXF^`3*X;sdPk}g*.%3m~OZ0-ZA."" ""N+@-9P4u9{\\92CC|E2\nrVl8j\""iX-N}A7p\n`Bb|M>yyR"" ""VL~]-cLQ\nv|'AG\tKk%T@wC\""\t*qFG?y96,"" ""F0"" ""M+Lo)i`"" ""VZt|PysMq[tNux\""*hb9[}(|WucAld\\:kX]N""]","35
7
2
33
43
47
22
1
9
24
24
7
41
2
15
6
38
20
20
42
41
43
45
30
24
20
46
48
3
10
43
12"
"["".eY w>I`ex*!(3k(=*351g^-o&\\SDPG\nK`9RfrU<=\\d?aUt"" ""LD'%%2$!`y)_n7';rVfZ!;5k6I+"" ""D<+TV_h&?l2\\%^BeKQ_GxD"" "";4Ax(.Z"" ""*N_!V~rL]=/lP8aaU71coBP`Y|h9MLi\""v_Tv"" ""t4g`.UKPj${z:pPA5,?Rrzjx]X-=o`a' ;\t=S'E#R/aZ./\\"" "")_ks#PV>"" ""*lFyJAZT\\+>@fbh). B~ B"" ""\nTG(io#+^`Ei'bx(uH~ V.*7W#r#pqDXX"" ""JTK~\\^`v>JZ0JGoD^-s[gM1U#%Ciaj8Wp#v\""QOj^|"" ""5P8cIhLn_?\\G)^hyM9x+RLUZPMa"" ""L/sJIVVXwT<qU_W6v(\""s@HxJ"" ""\tfOZlZO+BUn,\""Qq.@4/~\""(I~ej[fzF75xs5\nmKyI"" "",27}[/~Z7LG#m2%$/\ts.{,G2xTbdY]:"" ""f|2"" ""w{FrJVZtk^?!>j7Jm_'TPmJ2mmq=rECVpRs&6G&La""]","41
3
31
40
24
27
41
33
22
8
47
36
7
22
27
47"
