train_input_1,train_output_1
[],[]
[-10],[0]
[-1],[0]
[0],[0]
[1],[1]
[10],[10]
[103],[103]
[-571],[0]
[-349],[0]
[-520],[0]
[-326],[0]
[0 0],[0 0]
[0 1],[0 1]
[-1 0],[0 0]
[-90 -6],[0 0]
[-16 33],[0 33]
[412 111],[412 111]
[-725 -945 -140 -76 -135 -81 -928 -316 -704 -263 -628 -116 -635 -261 -445 -2 -651 -506 -204 -218 -914 -476 -796 -95 -462 -693 -446 -433 -425 -234 -331 -537 -580 -698 -725 -249],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-183 -185 -81 -452 -425 -984 -528 -752 -438 -9 -284 -823 -331 -92 -23 -606 -969 -591 -710 -278 -495 -523 -998 -522 -146 -736 -198 -54 -979 -374 -987 -257 -479 -187 -571],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-751 -111 -580 -164 -28 -667 -37 -364 -328 -605 -722 -971 -121 -445 -682 -325 -355 -474 -446 -526 -952 -631 -481 -810 -82 -421 -148 -191 -481 -384 -233 -592 -288 -170 -312 -80 -153 -990 -46 -952 -513 -259 -458 -989],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-160 -300 -663 -296 -131 -907 -808 -766 -644 -140 -61 -367 -813 -386 -584 -409 -349 -500 -397 -517 -88 -954 -727 -811 -131 -675 -761 -98 -968 -378 -990 -389 -315 -761 -118 -546 -752 -653 -814 -765 -91 -872 -418 -258 -2 -213 -657],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-103 -389 -482 -96 -891 -885 -217 -984 -156 -597 -423 -155 -196 -888 -806 -808 -630 -70 -217 -217 -288 -718 -676 -916 -303 -887 -341 -366 -635 -208 -726 -113 -352 -776 -577 -484 -326 -696 -648 -552 -479 -493 -1000 -499 -258 -338],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-276 -363 -408 -208 -599 -349 -251 -988 -564 -345 -480 -724 -456 -751 -317 -97 -543 -418 -333 -448 -747 -481 -184 -327 -229 -299 -20 -694 -591 -604 -457 -824 -331 -31 -75 -149 -124 -361 -432 -261 -267 -839 -232 -131 -725 -492 -732],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-436 -670 -962 -642 -208 -788 -843 -45 -14 -157 -310 -602 -962 -759 -848 -748 -67 -362 -725 -588 -574 -562 -290 -784 -614 -967 -204 -475 -815 -651],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-981 -492 -798 -415 -814 -159 -281 -687 -405 -870 -289 -304 -330 -106 -747 -299],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-362 -568 -710 -207 -571 -260 -381 -860 -304 -787 -456 -831 -940 -523 -598 -342],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[699 319 24 341 228 218 703 607 635 48 756 82 472 128 960 22 706 882 658 301 578],[699 319 24 341 228 218 703 607 635 48 756 82 472 128 960 22 706 882 658 301 578]
[511 348 289 778 967],[511 348 289 778 967]
[671 357 583 835 997 183 936 911 540 182 916 507 477 404 708 878 830 672 824],[671 357 583 835 997 183 936 911 540 182 916 507 477 404 708 878 830 672 824]
[270 897 747 761 660 786 538 960 473 152 602 272 321 590 3 591 61 534 300 841 904 981],[270 897 747 761 660 786 538 960 473 152 602 272 321 590 3 591 61 534 300 841 904 981]
[745 257 88 241 104 259 209 676 116 35 88 884 649 598 515 269 468 693 850 535 844 406 739 933 369 479],[745 257 88 241 104 259 209 676 116 35 88 884 649 598 515 269 468 693 850 535 844 406 739 933 369 479]
[286 382 854 238 703 491 358 739 189 601 265 507 812 956 974 660 539 877 948 601 73 264 885 145 702 358 887 404 614 620 975 560 984 493 546 654 484 167 183 407 641],[286 382 854 238 703 491 358 739 189 601 265 507 812 956 974 660 539 877 948 601 73 264 885 145 702 358 887 404 614 620 975 560 984 493 546 654 484 167 183 407 641]
