train_input_1,train_input_2,train_output_1
[],[],[]
[0],[0],[0]
[0],[10],[10]
[3],[5],[8]
[7],[-9],[-2]
[-432],[-987],[-1419]
[-772],[-814],[-1586]
[637],[112],[749]
[992],[-259],[733]
[-510],[876],[366]
[-177],[-457],[-634]
[0 0],[0 0],[0 0]
[0 1],[-4 2],[-4 3]
[-1 0],[-3 0],[-4 0]
[-90 -6],[-323 49],[-413 43]
[620 859 -707 -305 463 -570 152 319 431 95 -836 35 -755 120 246 748 354 237 487 149 793 -896 367 799 -671 496 -590 763 503 -140 -279 895 -920 957 -92 103 -815 452 152 -442 24 -880 667 -115 453 872 358 927 -819 -45],[404 -974 790 74 -304 -535 -455 -257 189 -163 380 -918 678 -669 385 -193 905 -960 153 263 872 744 -86 705 -118 467 407 697 131 -318 546 -942 338 878 -807 -823 59 598 -154 -363 -302 239 -114 -61 -625 169 -728 -143 807 -97],[1024 -115 83 -231 159 -1105 -303 62 620 -68 -456 -883 -77 -549 631 555 1259 -723 640 412 1665 -152 281 1504 -789 963 -183 1460 634 -458 267 -47 -582 1835 -899 -720 -756 1050 -2 -805 -278 -641 553 -176 -172 1041 -370 784 -12 -142]
[-22 -627 -21 -57 -397 -59 -396 448 709 777 -134 -364 -421 891 -233 -495 868 -24 -355 -979 464 -767 95 -725 148 -804 -405 103 -828 504 382 -637 122 -800 -819 953 92 165 -342 -804 -564 92 613 -140 230 -974 506 -167 521 -521],[-162 850 469 -252 -936 889 -65 -150 -517 -986 -882 -22 -156 18 526 -398 48 796 -894 -579 -580 156 -864 350 -452 150 186 -76 740 -203 537 -222 -896 618 -312 816 877 35 -562 -389 921 503 502 -783 226 -63 580 -84 270 673],[-184 223 448 -309 -1333 830 -461 298 192 -209 -1016 -386 -577 909 293 -893 916 772 -1249 -1558 -116 -611 -769 -375 -304 -654 -219 27 -88 301 919 -859 -774 -182 -1131 1769 969 200 -904 -1193 357 595 1115 -923 456 -1037 1086 -251 791 152]
