train_input_1,train_output_1,train_output_2
,,0
A,A,1
*,*,1
 ,"
",0
s,s,1
B ,"B
",1
  ,"

",0
 D,"
D",1
ef,ef,2
!!,!!,2
 F ,"
F
",1
T L,"T
L",2
4ps,4ps,3
q  ,"q

",1
   ,"


",0
  e,"

e",1
hi ,"hi
",2
  $  ,"

$

",1
      9,"





9",1
i !i !i !i !i,"i
!i
!i
!i
!i",9
88888888888888888888,88888888888888888888,20
                    ,"



















",0
ssssssssssssssssssss,ssssssssssssssssssss,20
1 1 1 1 1 1 1 1 1 1 ,"1
1
1
1
1
1
1
1
1
1
",10
 v v v v v v v v v v,"
v
v
v
v
v
v
v
v
v
v",10
Ha Ha Ha Ha Ha Ha Ha,"Ha
Ha
Ha
Ha
Ha
Ha
Ha",14
x y!x y!x y!x y!x y!,"x
y!x
y!x
y!x
y!x
y!",15
G5G5G5G5G5G5G5G5G5G5,G5G5G5G5G5G5G5G5G5G5,20
>_=]>_=]>_=]>_=]>_=],>_=]>_=]>_=]>_=]>_=],20
^_^ ^_^ ^_^ ^_^ ^_^ ,"^_^
^_^
^_^
^_^
^_^
",15
U'pz0#0e v}_:,"U'pz0#0e
v}_:",12
"M\;O, cn$TU","M\;O,
cn$TU",10
C ]pz(^Z!@a  )i~,"C
]pz(^Z!@a

)i~",13
"} Y5G  VS9,1 :` pw","}
Y5G

VS9,1
:`
pw",13
JvA f?4SN$c !,"JvA
f?4SN$c
!",11
Y/aV1] ,"Y/aV1]
",6
W %RkD  T  d,"W
%RkD

T

d",7
- EXPME` .o =8` ^.u,"-
EXPME`
.o
=8`
^.u",15
yO.oO? e8` `~,"yO.oO?
e8`
`~",11
D}={1 f5 UK  7,"D}={1
f5
UK

7",10
Fr8!<y @ !,"Fr8!<y
@
!",8
( +ZY  ,"(
+ZY

",4
S<=,S<=,3
M[ `}0;a E uP,"M[
`}0;a
E
uP",10
"o""WrEqU 50'E   ]c=z","o""WrEqU
50'E


]c=z",15
_oS*=<# >=NAfU B   Y,"_oS*=<#
>=NAfU
B


Y",15
]  ,"]

",1
  v_[ c1~S r-lK^,"

v_[
c1~S
r-lK^",12
 MU2,"
MU2",3
1M[k% uWgT,"1M[k%
uWgT",9
0{5,0{5,3
"8?JM 7 w7\""","8?JM
7
w7\""",9
4tjl .H4jfU   T(;,"4tjl
.H4jfU


T(;",13
"< aT"" (.|` A!5y V","<
aT""
(.|`
A!5y
V",13
 k>C+$s7 ;t,"
k>C+$s7
;t",9
u/>eT ,"u/>eT
",5
.!& >  e+wU4n!vk<,".!&
>

e+wU4n!vk<",14
"K |@~49""[w ","K
|@~49""[w
",9
  kJ6+T7(1 *rnA,"

kJ6+T7(1
*rnA",12
:.YB3 ` <K,":.YB3
`
<K",8
/@gV4|,/@gV4|,6
&7M &h;] A|  ,"&7M
&h;]
A|

",9
 $tg{.@~In9 _F X$'z ,"
$tg{.@~In9
_F
X$'z
",16
"1 + u ""B  Z  ~","1
+
u
""B

Z

~",7
`/2 rP u$zOKhf O,"`/2
rP
u$zOKhf
O",13
4 *s  HV  a h2^,"4
*s

HV

a
h2^",9
F smIx y xF}Rei q,"F
smIx
y
xF}Rei
q",13
~`a Ra,"~`a
Ra",5
 U,"
U",1
90   ku](: }`B /z4,"90


ku](:
}`B
/z4",13
M /e<GB 18x_Kllq,"M
/e<GB
18x_Kllq",14
   Ox)| &.,"


Ox)|
&.",6
/Md @ ,"/Md
@
",4
tkd&:M,tkd&:M,6
96Qy ;B[Qaq > ,"96Qy
;B[Qaq
>
",11
"csqrRhY?""uu  qK  bY","csqrRhY?""uu

qK

bY",15
" ,'i{rGSU ""U3}5","
,'i{rGSU
""U3}5",13
"{3 rTNkZ""nt ","{3
rTNkZ""nt
",10
$!,$!,2
   vO9|c`P S! H ?  ',"


vO9|c`P
S!
H
?

'",12
a>  /?wa] 1s ,"a>

/?wa]
1s
",9
 8\ Yiv{2 [ b KE,"
8\
Yiv{2
[
b
KE",11
i{rNx,i{rNx,5
 . g+4*(mF+|`|a,"
.
g+4*(mF+|`|a",13
h [IV,"h
[IV",4
  h[,"

h[",2
w_n _E`;  ZhW%   y7 ,"w_n
_E`;

ZhW%


y7
",13
KQ  p,"KQ

p",3
"d aC= 3<""3R/","d
aC=
3<""3R/",10
 UYSx#M1|xl@ |u  ,"
UYSx#M1|xl@
|u

",13
-xW,-xW,3
 H,"
H",1
"og5r7f;z,^k","og5r7f;z,^k",11
|9Y(n[S:685-on_lD,|9Y(n[S:685-on_lD,17
|  F95n 3X A<s,"|

F95n
3X
A<s",10
dK,dK,2
\S)j C( ZG=v/Dy+Ft,"\S)j
C(
ZG=v/Dy+Ft",16
Z4y,Z4y,3
 WrWpf#>fn9pO?,"
WrWpf#>fn9pO?",13
&e A  :V,"&e
A

:V",5
