train_input_1,train_output_1
-10000,small
0,small
980,small
995,small
996,small
997,small
998,small
999,small
1000,
1001,
1002,
1003,
1004,
1020,
1980,
1995,
1996,
1997,
1998,
1999,
2000,large
2001,large
2002,large
2003,large
2004,large
2020,large
10000,large
-8363,small
-9241,small
-7476,small
-3524,small
1180,
2342,large
-3887,small
7169,large
9323,large
-8793,small
9452,large
-9734,small
-1242,small
5381,large
7725,large
-5448,small
5930,large
-3546,small
-2813,small
3931,large
2938,large
-3271,small
-7245,small
-1467,small
-3990,small
-5505,small
-9082,small
-1033,small
8701,large
-9558,small
-2908,small
-1782,small
-9273,small
5809,large
6057,large
2171,large
878,small
-765,small
-587,small
9448,large
-3987,small
-3782,small
8787,large
1401,
5656,large
2742,large
-4903,small
-7998,small
-8015,small
-290,small
-4585,small
4857,large
-2785,small
-2810,small
6570,large
599,small
-1627,small
-5938,small
-5756,small
8610,large
-7978,small
-451,small
-2116,small
3729,large
-982,small
-2407,small
3677,large
-8921,small
9987,large
-3907,small
-2044,small
5538,large
9152,large
