train_input_1,train_output_1
,
A,AA
!,!!!
 , 
*,*
	,	
"
","
"
"B
","BB
"
"

","

"
CD,CCDD
ef,eeff
!!,!!!!!!
q!,qq!!!
!R,!!!RR
!#,!!!#
@!,@!!!
!F!,!!!FF!!!
T$L,TT$LL
4ps,4ppss
q	 ,qq	 
!!!,!!!!!!!!!
i:!i:!i:!i:!i,ii:!!!ii:!!!ii:!!!ii:!!!ii
88888888888888888888,88888888888888888888
                    ,                    
ssssssssssssssssssss,ssssssssssssssssssssssssssssssssssssssss
!!!!!!!!!!!!!!!!!!!!,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Ha Ha Ha Ha Ha Ha Ha,HHaa HHaa HHaa HHaa HHaa HHaa HHaa
"x
y!x
y!x
y!x
y!x
y!","xx
yy!!!xx
yy!!!xx
yy!!!xx
yy!!!xx
yy!!!"
1!1!1!1!1!1!1!1!1!1!,1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!1!!!
G5G5G5G5G5G5G5G5G5G5,GG5GG5GG5GG5GG5GG5GG5GG5GG5GG5
>_=]>_=]>_=]>_=]>_=],>_=]>_=]>_=]>_=]>_=]
k!!k!!k!!k!!k!!k!!k!,kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!!!!kk!!!
"G~_TF	ve#!}vQy%""j.I","GG~_TTFF	vvee#!!!}vvQQyy%""jj.II"
y#{=n,yy#{=nn
79S5,79SS5
*L,*LL
`maYYkt.k4&s],`mmaaYYYYkktt.kk4&ss]
V433!BuPIJ]YE,VV433!!!BBuuPPIIJJ]YYEE
X.aH5B6>=OKe!?GM5,XX.aaHH5BB6>=OOKKee!!!?GGMM5
_,_
0C~$\aj,0CC~$\aajj
dpvCD,ddppvvCCDD
B2fR>k&Q,BB2ffRR>kk&QQ
y9,yy9
o/%9-RBNa8ObB`TW<evF,oo/%9-RRBBNNaa8OObbBB`TTWW<eevvFF
$fpj,$ffppjj
X>Z\4&;,XX>ZZ\4&;
grOP09,ggrrOOPP09
LRICe(KU/r|x,LLRRIICCee(KKUU/rr|xx
")g""",")gg"""
cXk4u@IWxW[x7wZ,ccXXkk4uu@IIWWxxWW[xx7wwZZ
acZaLU,aaccZZaaLLUU
CeXUkief$4+,CCeeXXUUkkiieeff$4+
=UH<C,=UUHH<CC
F!%R,FF!!!%RR
"/q[/>w-G
_e","/qq[/>ww-GG
_ee"
M=&4O=h,MM=&4OO=hh
"3)|&Wg[GV^v""","3)|&WWgg[GGVV^vv"""
9I|Y1Ti*z^!Qb8b@;LE/,9II|YY1TTii*zz^!!!QQbb8bb@;LLEE/
"rRuZ->,","rrRRuuZZ->,"
9LV60>0\ry!Zi!,9LLVV60>0\rryy!!!ZZii!!!
"d28[ *{YSu\<})""	e$","dd28[ *{YYSSuu\<})""	ee$"
=0.1;}EnDvOtw6FF1\,=0.1;}EEnnDDvvOOttww6FFFF1\
w}ap30|&-@'^(Cr,ww}aapp30|&-@'^(CCrr
78=96,78=96
"wf>O0qLJeX7G2n""[Tz","wwff>OO0qqLLJJeeXX7GG2nn""[TTzz"
Zz=EulJZ?,ZZzz=EEuullJJZZ?
"l<dG$5	uTr(O,v;","ll<ddGG$5	uuTTrr(OO,vv;"
"Gioe*jP52'L{,","GGiiooee*jjPP52'LL{,"
ipRd[~wV])),iippRRdd[~wwVV]))
.CdE,.CCddEE
"Q
h0^v`EzWa*x5l?bV]","QQ
hh0^vv`EEzzWWaa*xx5ll?bbVV]"
"XRzdo>Gun
F$`gQL_/","XXRRzzddoo>GGuunn
FF$`ggQQLL_/"
;GTcyli+pe`u;n,;GGTTccyyllii+ppee`uu;nn
}L:8>HB:s1vg%1+	;,}LL:8>HHBB:ss1vvgg%1+	;
37|teuU,37|tteeuuUU
P.@U?7ji,PP.@UU?7jjii
"zry""ILqdRXKV(","zzrryy""IILLqqddRRXXKKVV("
"~ZVC*:/V<
C7S","~ZZVVCC*:/VV<
CC7SS"
AQG~,AAQQGG~
QJ wQrXT}E!,QQJJ wwQQrrXXTT}EE!!!
>*0YL|k~cfCv[2	'Q6,>*0YYLL|kk~ccffCCvv[2	'QQ6
*&|QNIklHEc{:w),*&|QQNNIIkkllHHEEcc{:ww)
K?IN^,KK?IINN^
 w!;4TUi(g'(tcP, ww!!!;4TTUUii(gg'(ttccPP
h@\: ]+*6t?b,hh@\: ]+*6tt?bb
;%>+E\wT4OMFzn,;%>+EE\wwTT4OOMMFFzznn
V3(P,VV3(PP
lvOP,llvvOOPP
EsD=:L`co,EEssDD=:LL`ccoo
}\5,}\5
J`|^X1UR,JJ`|^XX1UURR
"RQN^Y%RcnR L""{Vn","RRQQNN^YY%RRccnnRR LL""{VVnn"
",p:.WpQn>Y[jzLd w",",pp:.WWppQQnn>YY[jjzzLLdd ww"
)?MJXj?/#,)?MMJJXXjj?/#
efp?Kh,eeffpp?KKhh
yJ*%p541K]1? ,yyJJ*%pp541KK]1? 
"T()=!2ws~W,$","TT()=!!!2wwss~WW,$"
{0jcZ*Bi],{0jjccZZ*BBii]
i;H9k[0g;=IkrS3,ii;HH9kk[0gg;=IIkkrrSS3
