treatment,run_id,problem,uses_cohorts,solution_found,solution_length,update_found,evaluation_found,update_first_solution_found,evaluation_first_solution_found,program
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25351,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25352,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25353,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25354,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25355,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25356,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25357,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25358,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25359,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25360,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25361,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25362,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25363,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25364,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25365,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25366,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25367,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25368,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,25369,compare-string-lengths,1,False,NONE,NONE,NONE,NONE,NONE,"NONE"
